t_sett_75per_conv X,t_sett_75per_conv Y
0.005,2.773805673987047e-10
0.01,2.627431442025827e-10
0.015,2.536367799171286e-10
0.02,2.475832200279876e-10
0.025,2.433489243599575e-10
0.03,2.393971127934439e-10
0.035,2.354550399800192e-10
0.04,2.325341576218629e-10
0.045,2.299028275682902e-10
0.05,2.275188729277923e-10
0.055,2.253720305811979e-10
0.06,2.235080913852411e-10
0.065,2.217458632598751e-10
0.07000000000000001,2.200695121329333e-10
0.075,2.185526206426659e-10
0.08,2.171081924138862e-10
0.08500000000000001,2.157662698345925e-10
0.09,2.145949975630206e-10
0.095,2.133498185499511e-10
0.1,2.123241623824823e-10
0.105,2.113885126438667e-10
0.11,2.104059594919367e-10
0.115,2.094791037495379e-10
0.12,2.085300784859781e-10
0.125,2.07427134059162e-10
0.13,2.067229165451715e-10
0.135,2.05832542743797e-10
0.14,2.050910220558579e-10
0.145,2.043038334240216e-10
0.15,2.035292982187247e-10
0.155,2.028677014281731e-10
0.16,2.021316673988547e-10
0.165,2.014649125020282e-10
0.17,2.008220280982889e-10
0.175,2.001844030093602e-10
0.18,1.995594954244756e-10
0.185,1.989463302256677e-10
0.19,1.983445827240337e-10
0.195,1.977424294794483e-10
0.2,1.971928130007252e-10
0.205,1.966324545335432e-10
0.21,1.960983305799892e-10
0.215,1.955741742028891e-10
0.22,1.950480030742662e-10
0.225,1.945440171845032e-10
0.23,1.940647142276495e-10
0.235,1.935737508499137e-10
0.24,1.930900614125284e-10
0.245,1.926133529483683e-10
0.25,1.921351105166413e-10
0.255,1.916745060248327e-10
0.26,1.912212060458574e-10
0.265,1.90796096512285e-10
0.27,1.903592566234865e-10
0.275,1.899293413936971e-10
0.28,1.895061161839278e-10
0.285,1.890575118194293e-10
0.29,1.886442469739309e-10
0.295,1.882371077045596e-10
0.3,1.878359975655434e-10
0.305,1.874406609902898e-10
0.31,1.871020759333006e-10
0.315,1.866991319105869e-10
0.32,1.863166159767925e-10
0.325,1.859381710304865e-10
0.33,1.855756750203015e-10
0.335,1.852451992563118e-10
0.34,1.848813363419104e-10
0.345,1.845387458189716e-10
0.35,1.841850910307082e-10
0.355,1.838384794806219e-10
0.36,1.834972169642654e-10
0.365,1.831636462857927e-10
0.37,1.828358450293878e-10
0.375,1.825088092766979e-10
0.38,1.822032988351161e-10
0.385,1.818812386244292e-10
0.39,1.815646697254044e-10
0.395,1.812124818796326e-10
0.4,1.809405478995884e-10
0.405,1.80674365584898e-10
0.41,1.803817812233855e-10
0.415,1.800591023528917e-10
0.42,1.797675279090285e-10
0.425,1.794884077171034e-10
0.43,1.792004677099184e-10
0.435,1.789200036244048e-10
0.44,1.786422267070791e-10
0.445,1.783673033958192e-10
0.45,1.780965549607297e-10
0.455,1.778331699987165e-10
0.46,1.77626026563906e-10
0.465,1.773309687126214e-10
0.47,1.770890036603461e-10
0.475,1.768593398452541e-10
0.48,1.766092798887744e-10
0.485,1.763601343137249e-10
0.49,1.761157174118441e-10
0.495,1.75873153237189e-10
0.5,1.756345169326456e-10
