t_sett_75per_conv X,t_sett_75per_conv Y
0.02,2.475832200279876e-10
0.04,2.325341576218629e-10
0.06,2.235080913852411e-10
0.08,2.171081924138862e-10
0.1,2.123241623824823e-10
0.12,2.085300784859781e-10
0.14,2.050910220558579e-10
0.16,2.021316673988547e-10
0.18,1.995594954244756e-10
0.2,1.971928130007252e-10
0.22,1.950480030742662e-10
0.24,1.930900614125284e-10
0.26,1.912212060458574e-10
0.28,1.895061161839278e-10
0.3,1.878359975655434e-10
0.32,1.863166159767925e-10
0.34,1.848813363419104e-10
0.36,1.834972169642654e-10
0.38,1.822032988351161e-10
0.4,1.809405478995884e-10
0.42,1.797675279090285e-10
0.44,1.786422267070791e-10
0.46,1.77626026563906e-10
0.48,1.766092798887744e-10
0.5,1.756345169326456e-10
0.52,1.747013833366689e-10
0.54,1.738078597904977e-10
0.5600000000000001,1.729675932641696e-10
0.58,1.721128230920597e-10
0.6,1.71374807030844e-10
0.62,1.70576821587774e-10
0.64,1.698568673507493e-10
0.66,1.69210360456562e-10
0.68,1.685085117868359e-10
0.7000000000000001,1.678327455249122e-10
0.72,1.672698080516643e-10
0.74,1.66685097419709e-10
0.76,1.661280847121066e-10
0.78,1.65574349556984e-10
0.8,1.650606493186849e-10
0.8200000000000001,1.645408566318645e-10
0.84,1.640510077306914e-10
0.86,1.635783516100387e-10
0.88,1.631278254174939e-10
0.9,1.626911164867588e-10
0.92,1.622686548914735e-10
0.9400000000000001,1.618685794560492e-10
0.96,1.614774596077489e-10
0.98,1.611024031949323e-10
1,1.607431683315985e-10
