t_sett_75per_conv X,t_sett_75per_conv Y
0.02,2.475832200279876e-10
0.02080613,2.472549387161098e-10
0.02164475,2.463659896112586e-10
0.02251718,2.455248960308848e-10
0.02342477,2.446835057229168e-10
0.02436894,2.438968191586451e-10
0.02535116,2.429899324373858e-10
0.02637298,2.421751638146526e-10
0.02743598,2.413313150179786e-10
0.02854183,2.404276534264193e-10
0.02969225,2.396099689122172e-10
0.03088904,2.387232447298189e-10
0.03213407,2.373684821092653e-10
0.03342928,2.364410544854501e-10
0.0347767,2.355928705358321e-10
0.03617843,2.347473949198097e-10
0.03763665,2.339166316283067e-10
0.03915366,2.33500681301834e-10
0.0407318,2.321047225931401e-10
0.04237356,2.312497454211019e-10
0.04408149,2.303628951165681e-10
0.04585826,2.294819722406323e-10
0.04770665,2.28610931377237e-10
0.04962953000000001,2.276907864612135e-10
0.05162993,2.267484487450522e-10
0.05371095,2.258903892432801e-10
0.05587585,2.250242105891441e-10
0.05812801000000001,2.241978513574831e-10
0.06047095,2.233402957906225e-10
0.06290832,2.224645999455677e-10
0.06544393,2.215952414868088e-10
0.06808175,2.207072308661007e-10
0.07082589,2.198057975631613e-10
0.07368063,2.189470906399516e-10
0.07665044,2.180678902928908e-10
0.07973994999999999,2.171816087328348e-10
0.08295399000000001,2.162896218217688e-10
0.08629756999999999,2.154228547880975e-10
0.08977593,2.146470034805152e-10
0.09339448,2.136676404359097e-10
0.09715889,2.129191546372042e-10
0.101075,2.121168289898628e-10
0.105149,2.113589679948349e-10
0.1093872,2.105268020913482e-10
0.1137962,2.097049341081524e-10
0.1183829,2.08820909814385e-10
0.1231545,2.079812127375854e-10
0.1281185,2.07119232302435e-10
0.1332825,2.061698983846204e-10
0.1386546,2.053344213544797e-10
0.1442433,2.044245827610624e-10
0.1500572,2.035218181536989e-10
0.1561055,2.027188432762665e-10
0.1623976,2.018198111043484e-10
0.1689433,2.00958372468623e-10
0.1757528,2.000895496000513e-10
0.1828368,1.992101525035289e-10
0.1902063,1.983199893384829e-10
0.1978728,1.974230280957413e-10
0.2058484,1.965401051627476e-10
0.2141454,1.956631546612404e-10
0.2227769,1.947718937435759e-10
0.2317562,1.938914154290824e-10
0.2410975,1.929848559145413e-10
0.2508153,1.920594963010006e-10
0.2609248,1.911381480304135e-10
0.2714418,1.902345688148003e-10
0.2823826,1.892763298132863e-10
0.2937645,1.883371408886094e-10
0.3056051,1.874418901512176e-10
0.317923,1.864751725631636e-10
0.3307373,1.855461079881726e-10
0.3440682,1.846043071017617e-10
0.3579364,1.836372077246215e-10
0.3723636,1.826818333838169e-10
0.3873722000000001,1.817299376539839e-10
0.4029858,1.807704657662946e-10
0.4192288,1.798119197343591e-10
0.4361264,1.788571970685417e-10
0.4537052,1.779105579737436e-10
0.4719924,1.769421495982908e-10
0.4910168,1.760663470641671e-10
0.510808,1.751122375844658e-10
0.5313968999999999,1.741877293348775e-10
0.5528156000000001,1.732717114178353e-10
0.5750977,1.72356012470273e-10
0.5982779,1.714403300845738e-10
0.6223923,1.705063790477684e-10
0.6474788,1.696401715164214e-10
0.6735764000000001,1.687173645424173e-10
0.7007259,1.678122737401936e-10
0.7289697000000001,1.669505128399209e-10
0.7583519,1.661706187959864e-10
0.7889185,1.653492698070249e-10
0.820717,1.645229730703314e-10
0.8537972,1.637248777003893e-10
0.8882108,1.629467001447756e-10
0.9240115,1.621777784839111e-10
0.9612552,1.614549214138499e-10
1,1.607431683315985e-10
