t_sett_75per_conv X,t_sett_75per_conv Y
0.005,2.860842074333333e-10
0.005469788000000001,2.83949859320174e-10
0.005983717,2.817983848431171e-10
0.006545933,2.796341811758052e-10
0.007160973,2.782142605627777e-10
0.007833801,2.760495287653757e-10
0.008569847,2.739161737119795e-10
0.009375049000000002,2.717435939683578e-10
0.01025591,2.695596919685498e-10
0.01121953,2.672921216318075e-10
0.01227369,2.65190239191578e-10
0.0134269,2.629619582476234e-10
0.01468845,2.607660352367407e-10
0.01606855,2.585171416277195e-10
0.01757831,2.555074797505567e-10
0.01922993,2.534428593488255e-10
0.02103673,2.514368414454002e-10
0.02301329,2.493836653947925e-10
0.02517556,2.477699731181549e-10
0.027541,2.449995063260934e-10
0.03012868,2.428406980469023e-10
0.03295951,2.408666604208048e-10
0.0360563,2.388318463264841e-10
0.03944407,2.367411095973193e-10
0.04315014,2.345989346594463e-10
0.04720443000000001,2.324568435782984e-10
0.05163964,2.303279420621173e-10
0.05649158,2.281776216167051e-10
0.0617994,2.260648394683363e-10
0.06760592,2.239309989235026e-10
0.07395802000000001,2.217585468929841e-10
0.08090694000000001,2.195592014085825e-10
0.08850875999999999,2.172860152120365e-10
0.09682484,2.150366632050549e-10
0.1059223,2.126885551133071e-10
0.1158745,2.104324884592775e-10
0.1267618,2.081089796029264e-10
0.138672,2.057632916691788e-10
0.1517013,2.033526001401427e-10
0.1659548,2.010565400269798e-10
0.1815475,1.986470315159343e-10
0.1986053,1.961686169207153e-10
0.2172658,1.938065659997364e-10
0.2376796,1.913595791265079e-10
0.2600114,1.888612683503754e-10
0.2844414,1.863820524904731e-10
0.3111669,1.838674773121474e-10
0.3404034,1.814177695148451e-10
0.3723869,1.790534268079906e-10
0.4073755,1.766703802493867e-10
0.4456516,1.743648386535322e-10
0.4875239,1.722532808724189e-10
0.5333305,1.70278293385821e-10
0.5834410000000001,1.685674413829105e-10
0.6382598,1.671800913451781e-10
0.6982291,1.661543332810635e-10
0.7638330999999999,1.65278361194674e-10
0.8356011,1.643660521381749e-10
0.9141122,1.637830805243296e-10
1,1.632933740065511e-10
